time,x,y,z
0.0000e+00,2.00000000e+00,1.00000000e+00,4.00000000e+00
1.0000e-02,2.02004815e+00,1.00994832e+00,3.98979951e+00
2.0000e-02,2.04018506e+00,1.01978644e+00,3.97919623e+00
3.0000e-02,2.06039912e+00,1.02950387e+00,3.96818770e+00
4.0000e-02,2.08067829e+00,1.03908976e+00,3.95677183e+00
5.0000e-02,2.10101016e+00,1.04853299e+00,3.94494698e+00
6.0000e-02,2.12132057e+00,1.05807853e+00,3.93338523e+00
7.0000e-02,2.14185482e+00,1.06689078e+00,3.91981878e+00
8.0000e-02,2.16212150e+00,1.07599719e+00,3.90736355e+00
9.0000e-02,2.18265696e+00,1.08477260e+00,3.89372958e+00
1.0000e-01,2.20298391e+00,1.09327648e+00,3.87985808e+00
1.1000e-01,2.22338554e+00,1.10164246e+00,3.86557162e+00
1.2000e-01,2.24370695e+00,1.10974742e+00,3.85086718e+00
1.3000e-01,2.26396894e+00,1.11761853e+00,3.83577156e+00
1.4000e-01,2.28416009e+00,1.12523487e+00,3.82026654e+00
1.5000e-01,2.30425564e+00,1.13258184e+00,3.80436677e+00
1.6000e-01,2.32424398e+00,1.13964781e+00,3.78807354e+00
1.7000e-01,2.34410687e+00,1.14641802e+00,3.77139219e+00
1.8000e-01,2.36382799e+00,1.15287934e+00,3.75432904e+00
1.9000e-01,2.38339041e+00,1.15901800e+00,3.73689039e+00
2.0000e-01,2.40277693e+00,1.16482040e+00,3.71908374e+00
2.1000e-01,2.42197038e+00,1.17027305e+00,3.70091716e+00
2.2000e-01,2.44095340e+00,1.17536250e+00,3.68239949e+00
2.3000e-01,2.45970859e+00,1.18007551e+00,3.66354039e+00
2.4000e-01,2.47821850e+00,1.18439899e+00,3.64435026e+00
2.5000e-01,2.49646571e+00,1.18832011e+00,3.62484026e+00
2.6000e-01,2.51443281e+00,1.19182630e+00,3.60502236e+00
2.7000e-01,2.53210251e+00,1.19490532e+00,3.58490929e+00
2.8000e-01,2.54945760e+00,1.19754531e+00,3.56451453e+00
2.9000e-01,2.56648106e+00,1.19973479e+00,3.54385235e+00
3.0000e-01,2.58315607e+00,1.20146276e+00,3.52293773e+00
3.1000e-01,2.59946603e+00,1.20271871e+00,3.50178640e+00
3.2000e-01,2.61539464e+00,1.20349269e+00,3.48041480e+00
3.3000e-01,2.63092594e+00,1.20377532e+00,3.45884005e+00
3.4000e-01,2.64604431e+00,1.20355787e+00,3.43707996e+00
3.5000e-01,2.66073455e+00,1.20283225e+00,3.41515295e+00
3.6000e-01,2.67498190e+00,1.20159113e+00,3.39307806e+00
3.7000e-01,2.68877209e+00,1.19982789e+00,3.37087489e+00
3.8000e-01,2.70209136e+00,1.19753673e+00,3.34856359e+00
3.9000e-01,2.71492652e+00,1.19471265e+00,3.32616478e+00
4.0000e-01,2.72726495e+00,1.19135151e+00,3.30369954e+00
4.1000e-01,2.73909468e+00,1.18745007e+00,3.28118938e+00
4.2000e-01,2.75040437e+00,1.18300597e+00,3.25865612e+00
4.3000e-01,2.76118335e+00,1.17801782e+00,3.23612191e+00
4.4000e-01,2.77142169e+00,1.17248515e+00,3.21360916e+00
4.5000e-01,2.78111015e+00,1.16640847e+00,3.19114046e+00
4.6000e-01,2.79024025e+00,1.15978930e+00,3.16873855e+00
4.7000e-01,2.79880428e+00,1.15263011e+00,3.14642626e+00
4.8000e-01,2.80679530e+00,1.14493440e+00,3.12422645e+00
4.9000e-01,2.81420715e+00,1.13670665e+00,3.10216193e+00
5.0000e-01,2.82103447e+00,1.12795236e+00,3.08025544e+00
5.1000e-01,2.82727270e+00,1.11867800e+00,3.05852958e+00
5.2000e-01,2.83291809e+00,1.10889103e+00,3.03700671e+00
5.3000e-01,2.83796768e+00,1.09859989e+00,3.01570895e+00
5.4000e-01,2.84241930e+00,1.08781395e+00,2.99465809e+00
5.5000e-01,2.84627158e+00,1.07654352e+00,2.97387555e+00
5.6000e-01,2.84952393e+00,1.06479982e+00,2.95338230e+00
5.7000e-01,2.85217651e+00,1.05259493e+00,2.93319884e+00
5.8000e-01,2.85423023e+00,1.03994180e+00,2.91334513e+00
5.9000e-01,2.85568676e+00,1.02685415e+00,2.89384053e+00
6.0000e-01,2.85654845e+00,1.01334652e+00,2.87470379e+00
6.1000e-01,2.85681834e+00,9.99434131e-01,2.85595296e+00
6.2000e-01,2.85650017e+00,9.85132933e-01,2.83760541e+00
6.3000e-01,2.85559827e+00,9.70459499e-01,2.81967772e+00
6.4000e-01,2.85411762e+00,9.55431003e-01,2.80218569e+00
6.5000e-01,2.85206376e+00,9.40065167e-01,2.78514432e+00
6.6000e-01,2.84944281e+00,9.24380209e-01,2.76856774e+00
6.7000e-01,2.84626138e+00,9.08394795e-01,2.75246922e+00
6.8000e-01,2.84252661e+00,8.92127981e-01,2.73686113e+00
6.9000e-01,2.83824606e+00,8.75599169e-01,2.72175494e+00
7.0000e-01,2.83342775e+00,8.58828044e-01,2.70716117e+00
7.1000e-01,2.82808009e+00,8.41834529e-01,2.69308943e+00
7.2000e-01,2.82221185e+00,8.24638726e-01,2.67954839e+00
7.3000e-01,2.81583213e+00,8.07260867e-01,2.66654574e+00
7.4000e-01,2.80895035e+00,7.89721261e-01,2.65408826e+00
7.5000e-01,2.80157619e+00,7.72040241e-01,2.64218177e+00
7.6000e-01,2.79371959e+00,7.54238115e-01,2.63083114e+00
7.7000e-01,2.78539068e+00,7.36335120e-01,2.62004033e+00
7.8000e-01,2.77659980e+00,7.18351369e-01,2.60981238e+00
7.9000e-01,2.76735745e+00,7.00306811e-01,2.60014940e+00
8.0000e-01,2.75767426e+00,6.82221181e-01,2.59105266e+00
8.1000e-01,2.74756098e+00,6.64113963e-01,2.58252251e+00
8.2000e-01,2.73702845e+00,6.46004347e-01,2.57455849e+00
8.3000e-01,2.72608758e+00,6.27911191e-01,2.56715930e+00
8.4000e-01,2.71474932e+00,6.09852987e-01,2.56032284e+00
8.5000e-01,2.70302467e+00,5.91847825e-01,2.55404625e+00
8.6000e-01,2.69092463e+00,5.73913360e-01,2.54832593e+00
8.7000e-01,2.67846021e+00,5.56066790e-01,2.54315754e+00
8.8000e-01,2.66564239e+00,5.38324821e-01,2.53853609e+00
8.9000e-01,2.65248215e+00,5.20703648e-01,2.53445592e+00
9.0000e-01,2.63899039e+00,5.03218929e-01,2.53091076e+00
9.1000e-01,2.62517800e+00,4.85885768e-01,2.52789375e+00
9.2000e-01,2.61105577e+00,4.68718700e-01,2.52539747e+00
9.3000e-01,2.59663447e+00,4.51731669e-01,2.52341401e+00
9.4000e-01,2.58192475e+00,4.34938020e-01,2.52193495e+00
9.5000e-01,2.56693720e+00,4.18350489e-01,2.52095144e+00
9.6000e-01,2.55168231e+00,4.01981192e-01,2.52045420e+00
9.7000e-01,2.53617051e+00,3.85841619e-01,2.52043360e+00
9.8000e-01,2.52041209e+00,3.69942630e-01,2.52087962e+00
9.9000e-01,2.50441727e+00,3.54294453e-01,2.52178195e+00
1.0000e+00,2.48819616e+00,3.38906682e-01,2.52313002e+00
1.0100e+00,2.47175878e+00,3.23788279e-01,2.52491298e+00
1.0200e+00,2.45511501e+00,3.08947578e-01,2.52711977e+00
1.0300e+00,2.43827467e+00,2.94392285e-01,2.52973917e+00
1.0400e+00,2.42124745e+00,2.80129489e-01,2.53275977e+00
1.0500e+00,2.40404292e+00,2.66165667e-01,2.53617005e+00
1.0600e+00,2.38667056e+00,2.52506691e-01,2.53995841e+00
1.0700e+00,2.36913974e+00,2.39157840e-01,2.54411314e+00
1.0800e+00,2.35145972e+00,2.26123810e-01,2.54862253e+00
1.0900e+00,2.33363966e+00,2.13408725e-01,2.55347480e+00
1.1000e+00,2.31568860e+00,2.01016154e-01,2.55865823e+00
1.1100e+00,2.29761548e+00,1.88949118e-01,2.56416109e+00
1.1200e+00,2.27942914e+00,1.77210110e-01,2.56997171e+00
1.1300e+00,2.26113829e+00,1.65801110e-01,2.57607848e+00
1.1400e+00,2.24275156e+00,1.54723596e-01,2.58246990e+00
1.1500e+00,2.22427746e+00,1.43978566e-01,2.58913457e+00
1.1600e+00,2.20572439e+00,1.33566551e-01,2.59606120e+00
1.1700e+00,2.18710066e+00,1.23487636e-01,2.60323866e+00
1.1800e+00,2.16841445e+00,1.13741473e-01,2.61065597e+00
1.1900e+00,2.14967384e+00,1.04327301e-01,2.61830231e+00
1.2000e+00,2.13088682e+00,9.52439668e-02,2.62616706e+00
1.2100e+00,2.11206124e+00,8.64899368e-02,2.63423979e+00
1.2200e+00,2.09320487e+00,7.80633203e-02,2.64251025e+00
1.2300e+00,2.07432534e+00,6.99618858e-02,2.65096843e+00
1.2400e+00,2.05543019e+00,6.21830789e-02,2.65960455e+00
1.2500e+00,2.03652684e+00,5.47240406e-02,2.66840903e+00
1.2600e+00,2.01762259e+00,4.75816252e-02,2.67737254e+00
1.2700e+00,1.99872464e+00,4.07524178e-02,2.68648600e+00
1.2800e+00,1.97984005e+00,3.42327516e-02,2.69574058e+00
1.2900e+00,1.96097579e+00,2.80187253e-02,2.70512768e+00
1.3000e+00,1.94213868e+00,2.21062199e-02,2.71463896e+00
1.3100e+00,1.92333544e+00,1.64909150e-02,2.72426636e+00
1.3200e+00,1.90457266e+00,1.11683052e-02,2.73400205e+00
1.3300e+00,1.88585680e+00,6.13371575e-03,2.74383847e+00
1.3400e+00,1.86719421e+00,1.38231805e-03,2.75376831e+00
1.3500e+00,1.84859110e+00,-3.09085554e-03,2.76378454e+00
1.3600e+00,1.83005355e+00,-7.29089712e-03,2.77388037e+00
1.3700e+00,1.81158751e+00,-1.12230092e-02,2.78404926e+00
1.3800e+00,1.79319881e+00,-1.48924911e-02,2.79428495e+00
1.3900e+00,1.77489313e+00,-1.83047258e-02,2.80458140e+00
1.4000e+00,1.75667603e+00,-2.14651675e-02,2.81493284e+00
1.4100e+00,1.73855293e+00,-2.43793293e-02,2.82533374e+00
1.4200e+00,1.72052912e+00,-2.70527714e-02,2.83577881e+00
1.4300e+00,1.70260973e+00,-2.94910906e-02,2.84626300e+00
1.4400e+00,1.68479978e+00,-3.16999088e-02,2.85678148e+00
1.4500e+00,1.66710414e+00,-3.36848634e-02,2.86732967e+00
1.4600e+00,1.64952754e+00,-3.54515974e-02,2.87790319e+00
1.4700e+00,1.63207457e+00,-3.70057506e-02,2.88849789e+00
1.4800e+00,1.61474969e+00,-3.83529503e-02,2.89910983e+00
1.4900e+00,1.59755720e+00,-3.94988035e-02,2.90973529e+00
1.5000e+00,1.58050129e+00,-4.04488890e-02,2.92037072e+00
1.5100e+00,1.56358599e+00,-4.12087502e-02,2.93101280e+00
1.5200e+00,1.54681518e+00,-4.17838882e-02,2.94165837e+00
1.5300e+00,1.53019263e+00,-4.21797553e-02,2.95230448e+00
1.5400e+00,1.51372196e+00,-4.24017491e-02,2.96294833e+00
1.5500e+00,1.49740665e+00,-4.24552070e-02,2.97358732e+00
1.5600e+00,1.48125003e+00,-4.23454010e-02,2.98421900e+00
1.5700e+00,1.46525533e+00,-4.20775327e-02,2.99484107e+00
1.5800e+00,1.44942562e+00,-4.16567293e-02,3.00545140e+00
1.5900e+00,1.43376383e+00,-4.10880393e-02,3.01604800e+00
1.6000e+00,1.41827279e+00,-4.03764289e-02,3.02662901e+00
1.6100e+00,1.40295516e+00,-3.95267786e-02,3.03719274e+00
1.6200e+00,1.38781351e+00,-3.85438804e-02,3.04773759e+00
1.6300e+00,1.37285025e+00,-3.74324346e-02,3.05826211e+00
1.6400e+00,1.35806768e+00,-3.61970482e-02,3.06876495e+00
1.6500e+00,1.34346799e+00,-3.48422319e-02,3.07924488e+00
1.6600e+00,1.32905323e+00,-3.33723988e-02,3.08970078e+00
1.6700e+00,1.31482534e+00,-3.17918627e-02,3.10013163e+00
1.6800e+00,1.30078613e+00,-3.01048368e-02,3.11053650e+00
1.6900e+00,1.28693732e+00,-2.83154322e-02,3.12091456e+00
1.7000e+00,1.27328050e+00,-2.64276577e-02,3.13126507e+00
1.7100e+00,1.25981715e+00,-2.44454183e-02,3.14158735e+00
1.7200e+00,1.24654865e+00,-2.23725155e-02,3.15188082e+00
1.7300e+00,1.23347627e+00,-2.02126462e-02,3.16214496e+00
1.7400e+00,1.22060119e+00,-1.79694034e-02,3.17237932e+00
1.7500e+00,1.20792448e+00,-1.56462755e-02,3.18258351e+00
1.7600e+00,1.19544710e+00,-1.32466468e-02,3.19275721e+00
1.7700e+00,1.18316995e+00,-1.07737978e-02,3.20290014e+00
1.7800e+00,1.17109380e+00,-8.23090559e-03,3.21301209e+00
1.7900e+00,1.15921937e+00,-5.62104455e-03,3.22309287e+00
1.8000e+00,1.14754726e+00,-2.94718677e-03,3.23314237e+00
1.8100e+00,1.13607801e+00,-2.12203045e-04,3.24316049e+00
1.8200e+00,1.12481207e+00,2.58113635e-03,3.25314718e+00
1.8300e+00,1.11374982e+00,5.43016067e-03,3.26310243e+00
1.8400e+00,1.10289155e+00,8.33229766e-03,3.27302623e+00
1.8500e+00,1.09223749e+00,1.12850725e-02,3.28291865e+00
1.8600e+00,1.08178780e+00,1.42861064e-02,3.29277974e+00
1.8700e+00,1.07154257e+00,1.73331159e-02,3.30260959e+00
1.8800e+00,1.06150184e+00,2.04239109e-02,3.31240832e+00
1.8900e+00,1.05166556e+00,2.35563938e-02,3.32217604e+00
1.9000e+00,1.04203366e+00,2.67285581e-02,3.33191290e+00
1.9100e+00,1.03260598e+00,2.99384867e-02,3.34161905e+00
1.9200e+00,1.02338232e+00,3.31843508e-02,3.35129466e+00
1.9300e+00,1.01436245e+00,3.64644082e-02,3.36093990e+00
1.9400e+00,1.00554606e+00,3.97770021e-02,3.37055496e+00
1.9500e+00,9.96932821e-01,4.31205592e-02,3.38014001e+00
1.9600e+00,9.88522344e-01,4.64935886e-02,3.38969526e+00
1.9700e+00,9.80314210e-01,4.98946800e-02,3.39922088e+00
1.9800e+00,9.72307962e-01,5.33225024e-02,3.40871707e+00
1.9900e+00,9.64503108e-01,5.67758022e-02,3.41818402e+00
2.0000e+00,9.56899123e-01,6.02534022e-02,3.42762192e+00
2.0100e+00,9.49495453e-01,6.37541997e-02,3.43703096e+00
2.0200e+00,9.42291519e-01,6.72771651e-02,3.44641130e+00
2.0300e+00,9.35286713e-01,7.08213404e-02,3.45576312e+00
2.0400e+00,9.28480407e-01,7.43858376e-02,3.46508658e+00
2.0500e+00,9.21871953e-01,7.79698375e-02,3.47438185e+00
2.0600e+00,9.15460683e-01,8.15725877e-02,3.48364907e+00
2.0700e+00,9.09245914e-01,8.51934018e-02,3.49288837e+00
2.0800e+00,9.03226951e-01,8.88316574e-02,3.50209987e+00
2.0900e+00,8.97403084e-01,9.24867952e-02,3.51128370e+00
2.1000e+00,8.91773596e-01,9.61583169e-02,3.52043994e+00
2.1100e+00,8.86337761e-01,9.98457847e-02,3.52956870e+00
2.1200e+00,8.81094848e-01,1.03548819e-01,3.53867002e+00
2.1300e+00,8.76044121e-01,1.07267098e-01,3.54774398e+00
2.1400e+00,8.71184843e-01,1.11000356e-01,3.55679062e+00
2.1500e+00,8.66516279e-01,1.14748380e-01,3.56580995e+00
2.1600e+00,8.62037692e-01,1.18511015e-01,3.57480199e+00
2.1700e+00,8.57748350e-01,1.22288153e-01,3.58376673e+00
2.1800e+00,8.53647528e-01,1.26079741e-01,3.59270413e+00
2.1900e+00,8.49734505e-01,1.29885773e-01,3.60161416e+00
2.2000e+00,8.46008571e-01,1.33706294e-01,3.61049674e+00
2.2100e+00,8.42469025e-01,1.37541395e-01,3.61935179e+00
2.2200e+00,8.39115177e-01,1.41391214e-01,3.62817921e+00
2.2300e+00,8.35946351e-01,1.45255933e-01,3.63697888e+00
2.2400e+00,8.32961887e-01,1.49135782e-01,3.64575064e+00
2.2500e+00,8.30161139e-01,1.53031029e-01,3.65449433e+00
2.2600e+00,8.27543479e-01,1.56941987e-01,3.66320976e+00
2.2700e+00,8.25108298e-01,1.60869012e-01,3.67189673e+00
2.2800e+00,8.22855008e-01,1.64812496e-01,3.68055499e+00
